,city,job_title,company_name,location,summary,salary,og_salary_period
180,atlanta,data analyst  predictive modeling,target marketeam,atlanta  ga,the data analyst will work with client data to create implement statistical predictive prescriptive  manage manipulate large data sets efficiently while keeping   ,,
181,atlanta,solution analyst i   it  data science,cocacola,atlanta  ga,provide data expertise and technical support to data scientists and overall analyst community  work closely with data scientists and engineers to design and   ,,
182,atlanta,analyst 1  advertising research,comcast,atlanta  ga,and or syndicated data  scarborough  experian  polk  kantar  etc    identifies complex issues  conflicting data  client objections  industry trends  etc      ,,
183,atlanta,research scientist i  pva   35586 ,georgia tech,atlanta  ga,process data requests  operate data repositories  consult with researchers on data needs  educated on and conversant in data management  data driven research    ,,
184,atlanta,data analyst supply chain,home depot,atlanta  ga,operates under the supervision and mentorship of more experienced managers and data scientists  20  leverages data analytics tools to create new dashboards    ,,
185,atlanta,senior data analyst – trending   analysis system administrator,piedmont healthcare,atlanta  ga,knowledge of claims  data management  and it terminology preferred  overall responsibility for the management  validation  and complex analysis of data stored   ,,
186,atlanta,research development scientist  rf electronics,ngimat co ,atlanta  ga,_ the rf electronics research scientist will manage research development programs and win new business  the scientist will work closely with members in all areas of the company    ,,
187,atlanta,scientist iii   research development,cocacola,atlanta  ga,scientist and internal partners to ideate  define  and develop beverages for global markets  record data from analyses or experiments in a computer  log book or   ,,
188,atlanta,statistician,assurant,atlanta  ga,manages data and data requests to improve the accuracy of our data and decisions made from data analysis  passionate about data analytics    ,,
189,atlanta,analytics engineer,riskonnect inc ,kennesaw  ga,proficiency with magic etl  mysql  data connectors  data transformations  dataflows  join syntax  aggregation methods and data types    ,,
190,atlanta,data science instructor associate,general assembly,atlanta  ga,you are eager to shape the skills  minds  and careers of the newest generation of data scientists  we also cover all sorts of other things that junior data   ,,
191,atlanta,implementation analyst,turner,atlanta  ga,although this is not a technical position  this role will have frequent interaction with data scientists  development and engineering teams    ,,
192,atlanta,data link systems engineer   elsys   1354,georgia tech research institute,atlanta  ga,serve as the technical expert on military tactical data links  associated radios  and systems' uses of those data links for sponsors and associated projects    ,,
193,atlanta,research scientist,solvay,alpharetta  ga,experience with analytical chemistry  physical chemistry  statistical experimental design and treatment of data    ,,
194,atlanta,computer statistical assistant,customer value partners,atlanta  ga,perform data entry  coding  and transcription  provide routine analysis and interpretation of data  experience with routine analysis and interpretation of data    ,,
195,atlanta,research scientist   orthopaedics,children's healthcare of atlanta,atlanta  ga,collects  analyzes  and interprets data  designs  performs  and or oversees experiments and data collection to ensure data integrity  quality control  and   ,,
196,dallas,professional data scientist   big data,at t,plano  tx,perform data studies and data discovery around new data sources or new uses for existing data sources  the data scientist will be responsible for designing and   ,,
197,dallas,sr  scientist i,alcon labs,fort worth  tx,analyzes data from multiple  complex studies to derive a decision on functional deliverable  designs  plans  performs and interprets scientific experiments  or   ,,
198,dallas,lab scientist    research development,nutribiotech usa  inc ,garland  tx,evaluate stability 1 and 2 reports when data is outside of the tentative specifications and make suggestions   comments on the product’s ability to launch    ,,
199,dallas,applied statistical learning scientist,spectral md  inc ,dallas  tx,stratification of study data based on clinical variables  analyze clinical study data to identify factors that influence diagnostic device effectiveness    ,,
200,dallas,sr data scientist,fastconnect,dallas  tx,the data scientist uses scientific  analytical approaches to explore and visualize available data  identifies gaps and needs for additional data  builds   ,,
