,city,job_title,company_name,location,summary,salary
139,Seattle,"Data Analyst SCHARP, Clinical Data",Fred Hutchinson Cancer Research Center,"Seattle, WA 98109 (Westlake area)","Design, develop, and maintain data mappings, data rules, and data transformations to populate data warehouse with source data....",Nothing_found
140,Seattle,Machine Learning and Data Mining,Vinformax Systems Inc,"Redmond, WA","3+ years on Machine Learning, R, NLP techniques, AML, Data Mining. Exp....",Nothing_found
141,Seattle,Data Analyst,Wunderman,"Seattle, WA","Headquartered in New York, the agency brings together 7,000 creatives, data scientists, strategists and technologists in 175 offices in 60 markets....",Nothing_found
142,Seattle,Scientist I,Nanostring Technologies,"Seattle, WA 98109 (Westlake area)",Perform experiments and analyze data with limited supervision. Experience with analysis of genomic-scale data and/or statistical SW packages preferred....,Nothing_found
143,Seattle,APPLIED SCIENTIST 2,Microsoft,"Bellevue, WA",Data mining and analytics. We are looking for a Senior Applied Scientist or Senior Machine Learning Scientist to incubate technologies from end to end to make...,Nothing_found
144,Seattle,"Research Scientist, Machine Learning & Signal Processing",Oculus VR,"Redmond, WA","4+ years experience manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources....",Nothing_found
145,Seattle,Data Analytics Instructor,Level Education from Northeastern University,"Seattle, WA","Data analyst, data scientist, management consultant, financial analyst) and some instruction experience; Data pre-processing and cleaning, exploratory data...",Nothing_found
146,Seattle,"Computer Vision Research Scientist, PhD University Grad",Facebook,"Redmond, WA",Experience with statistical analysis of data and mathematical modeling. Oculus is a world leader in the design of virtual reality systems....,Nothing_found
147,Seattle,Senior Data Analyst,POP,"Seattle, WA 98119 (Queen Anne area)","Work with business stakeholders and other data scientists to understand raw data sources, transformations that are needed, and desired outcomes....",Nothing_found
148,Seattle,"Research Scientist, Machine Learning & Signal Processing",Facebook,"Redmond, WA","Perform research that enables learning the semantics of data (audio, images, video, text, and other modalities)....",Nothing_found
149,Seattle,Data Scientist,KPMG,"Seattle, WA 98104","Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and...",Nothing_found
150,Seattle,Data Scientist (on W2),Tech Mahindra,"Bellevue, WA 98005","Data mining, web mining, machine learning, statistics, business intelligence/customer intelligence, user modelling, information retrieval, databases, data...",Nothing_found
151,Los+Angeles,Data Scientist,Predictive Science,United States,This is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the...,Nothing_found
152,Los+Angeles,Staff Data Scientist of Innovation,Intuit,"Woodland Hills, CA 91371",Intuit is looking for an innovative and hands-on Staff Data Scientist of Innovation within the Global Risk Management group....,Nothing_found
153,Los+Angeles,Data Analysis & Visualization Specialist,Pacific Life,"Newport Beach, CA","Leverage RSD business and data knowledge to address business requests, explore value delivery through data analysis....",Nothing_found
154,Los+Angeles,Associate Data Scientist,Omaze,"Los Angeles, CA 90016",Our Data Scientists have some of the most fun in the building. Omaze's Data Science team is looking for an outstanding Associate Data Scientist to help us build...,Nothing_found
155,Los+Angeles,"Senior Data Analyst, Content Analytics",Netflix,"Los Angeles, CA","Work with finance experts, data scientists and data engineers in the Content org to develop metrics and analytical approaches which capture the nuances of...",Nothing_found
156,Los+Angeles,Sr. Data Scientist,Warner Bros. Entertainment Group,"Burbank, CA",We are looking for a talented senior data scientist to join our Data Intelligence Team. The senior data scientist will be responsible for predictive modeling...,Nothing_found
157,Los+Angeles,Deep Learning Scientist,Oben,"Pasadena, CA","Deep Learning Scientist. As a member of the deep learning team, you will design and develop deep learning algorithms for image recognition/retrieval/detection...",Nothing_found
158,Los+Angeles,Data Science - Marketplace Optimization & Forecast,Honk,"Los Angeles, CA 90064",A proven Data Scientist or Engineer with hands on practical experience; We are looking for a Data Scientist with an insatiable curiosity for the evolving way...,Nothing_found
159,Los+Angeles,Data Quality Analyst,Convergys,"Anaheim, CA","Our multidisciplinary team of scientists, engineers, physicians, and regulatory consultants brings together more than 90 different disciplines to solve...",Nothing_found
160,Los+Angeles,Data Engineer with Fun Company,Recruiting for Good,"Los Angeles, CA","In this role, you will partner with product owners, data scientists, solutions engineers, and business analysts to facilitate the development, automation, and...",Nothing_found
161,Los+Angeles,Machine Learning Scientist - Speech and Natural Language,"Disney Consumer Products, Disney Interactive","Glendale, CA","Strong grasp of machine learning and data analytics techniques. 1+ years of hands-on experience in machine learning, recommendation systems, pattern recognition...",Nothing_found
162,Los+Angeles,Data Strategy Analyst,"Neustar, Inc.","Los Angeles, CA",Data Strategy Analyst. Communicating with client data owners and media agency partners to understand data and identify data attributes critical to our modeling...,Nothing_found
163,Los+Angeles,Data Engineer - Machine Learning,Disney Consumer Products,"Glendale, CA",Monitor and validate the daily data platform performance and data quality. Develop data pipeline and engine to support application engineers to use data to...,Nothing_found
164,Los+Angeles,Database Marketing Statistician,Viking Cruises,"Woodland Hills, CA","Successful candidate must be able to apply best practices in data preparation and data cleansing from source data, create predictive and descriptive derived...","$120,000 a year"
165,Los+Angeles,Bi-Lingual (Korean) Public Record Research and Operations Analyst,Veritable Screening,"Culver City, CA",Company Overview Veritable Screening is a background check company. We help companies and business owners ensure the quality of their employees and,$13 - $15 an hour
166,Los+Angeles,Bi-Lingual (Korean) Public Record Research and Operations Analyst,Veritable Screening,"Culver City, CA",Company Overview Veritable Screening is a background check company. We help companies and business owners ensure the quality of their employees and,$13 - $15 an hour
167,Los+Angeles,Database Marketing Statistician,Viking Cruises,"Woodland Hills, CA","Successful candidate must be able to apply best practices in data preparation and data cleansing from source data, create predictive and descriptive derived...","$120,000 a year"
168,Los+Angeles,Data Analysis & Visualization Specialist,Pacific Life,"Newport Beach, CA","Leverage RSD business and data knowledge to address business requests, explore value delivery through data analysis....",Nothing_found
169,Los+Angeles,Machine learning developer,Luxoft,"Los Angeles, CA",Axioma Adapter – ‘in-house’ solution allowing reference data to be loaded into Portfolio Optimizer. Choose and incorporate appropriate data mining and analysis...,Nothing_found
170,Los+Angeles,Data Engineer - Machine Learning,Disney Consumer Products,"Glendale, CA",Monitor and validate the daily data platform performance and data quality. Develop data pipeline and engine to support application engineers to use data to...,Nothing_found
171,Los+Angeles,Research Analyst,The Camstoll Group LLC,"Los Angeles, CA","Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory or...",Nothing_found
172,Los+Angeles,Data Engineer,Luxoft,"Los Angeles, CA","Collaborate with our data scientists to map data fields to hypotheses and curate, wrangle, and prepare data for use in their advanced analytical models....",Nothing_found
173,Los+Angeles,"Manager, Statistical Consulting & Data Science",Warner Bros. Entertainment Group,"Burbank, CA",Data Intelligence department. We are looking for a talented data scientist to lead the Statistical Consulting function at WB....,Nothing_found
174,Los+Angeles,Technical Data Analyst,Riot Games,"Los Angeles, CA","Collaborate with analysts and data scientists as a front line contact for Big Data to help them extract even more value from data, and to help the engineers set...",Nothing_found
175,Los+Angeles,Machine Learning Scientist with Audio DSP background,Oben,"Pasadena, CA","Define data needs, evaluate data quality, perform and critique appropriate statistical analyses using software such as R, Python, SAS, MATLAB, and/or Splus....",Nothing_found
176,Los+Angeles,Part Time Data Science Instructor,General Assembly,"Santa Monica, CA","Data visualization techniques; Data Science Instructor Overview. Manipulation of large data sets; You are eager to shape the skills, minds, and trajectories of...",Nothing_found
177,Los+Angeles,Data Engineer,Retention Science,"Santa Monica, CA 90405",We are looking for passionate data engineers to scale out our platform and collaborate with data scientists to implement and improve our machine learning models...,Nothing_found
178,Los+Angeles,Postdoctoral Scientist,Cedars-Sinai,"Los Angeles, CA","Will present data at weekly meetings and prepare data for publication. Analyzes and interprets data. Analyzes, interprets, summarizes and compiles data....",Nothing_found
179,Los+Angeles,Staff Data Scientist of Innovation,Intuit,"Woodland Hills, CA 91371",Intuit is looking for an innovative and hands-on Staff Data Scientist of Innovation within the Global Risk Management group....,Nothing_found
180,Los+Angeles,Data Scientist,Predictive Science,United States,This is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the...,Nothing_found
181,Philadelphia,Senior Analyst Quantitative Analytics,Lincoln Financial,"Philadelphia, PA","Alternate Locations: Philadelphia, PA (Pennsylvania) Relocation assistance will be considered/provided for this opportunity within our company guidelines.",Nothing_found
182,Philadelphia,Data Engineer/Scientist,RS Energy Group,"Plymouth Meeting, PA","Integrated with cloud based external data sources, and API’s to discover interesting data trends. Working alongside Data Scientists to productionalize advanced...",Nothing_found
183,Philadelphia,Data Scientist,Predictive Science,United States,This is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the...,Nothing_found
